1.944000	0.107075	0.364000
1.526000	0.258562	0.342000
1.520000	0.262337	0.420000
1.400000	0.343723	0.482000
1.050000	0.536299	0.280000
0.978000	0.553752	0.379000
0.860000	0.564780	0.400000
0.727000	0.554145	0.296000
0.610000	0.528389	0.436000
0.590000	0.522723	0.481000
0.560000	0.513621	0.482000
0.520000	0.500449	0.488000
0.440000	0.471044	0.413000
0.370000	0.442607	0.403100
0.320000	0.421111	0.384000
0.250000	0.389807	0.351200
0.180000	0.357576	0.360000
0.170000	0.352925	0.510000
0.150000	0.343601	0.490000
0.100000	0.320231	0.370000
0.067000	0.304816	0.423000
0.020000	0.282972	0.314000
