0.000006	20.379574	178795729.676101	0.999935
0.000006	21.424391	153890910.682959	0.999933
0.000007	22.522779	132455134.324138	0.999932
0.000007	23.677481	114005190.631238	0.999930
0.000008	24.891372	98125176.930166	0.999929
0.000008	26.167508	84457122.471913	0.999927
0.000008	27.509069	72692918.977484	0.999926
0.000009	28.919413	62567375.193541	0.999925
0.000009	30.402064	53852238.893060	0.999923
0.000010	31.960727	46351051.563604	0.999922
0.000010	33.599308	39894719.796483	0.999921
0.000011	35.321902	34337703.546076	0.999920
0.000011	37.132806	29554735.334226	0.999919
0.000012	39.036557	25437996.443300	0.999917
0.000012	41.037926	21894686.443020	0.999916
0.000013	43.141898	18844931.262833	0.999915
0.000014	45.353755	16219982.653102	0.999915
0.000014	47.679006	13960668.447001	0.999914
0.000015	50.123507	12016058.688560	0.999913
0.000016	52.693306	10342317.558435	0.999912
0.000017	55.394904	8901715.217266	0.999912
0.000018	58.235006	7661777.291365	0.999911
0.000018	61.220727	6594552.828270	0.999911
0.000019	64.359550	5675984.220249	0.999911
0.000020	67.659303	4885364.892431	0.999911
0.000021	71.128286	4204872.530662	0.999911
0.000023	74.775129	3619167.326991	0.999911
0.000024	78.608988	3115046.186358	0.999911
0.000025	82.639407	2681145.099531	0.999911
0.000026	86.876523	2307682.973119	0.999912
0.000028	91.330919	1986241.142024	0.999913
0.000029	96.013739	1709573.594044	0.999914
0.000030	100.936661	1471443.628679	0.999915
0.000032	106.112073	1266483.268064	0.999916
0.000034	111.552927	1090072.250832	0.999918
0.000035	117.272788	938233.881170	0.999919
0.000037	123.286007	807545.385276	0.999922
0.000039	129.607603	695060.754432	0.999924
0.000041	136.253409	598244.335440	0.999926
0.000043	143.240090	514913.671364	0.999929
0.000045	150.585154	443190.304113	0.999932
0.000048	158.306877	381457.429825	0.999936
0.000050	166.424733	328323.452517	0.999940
0.000053	174.958951	282590.614428	0.999944
0.000055	183.930977	243227.995901	0.999948
0.000058	193.363233	209348.276162	0.999953
0.000061	203.279359	180187.731144	0.999959
0.000064	213.704186	155089.017449	0.999964
0.000068	224.663899	133486.354375	0.999971
0.000071	236.185789	114892.769954	0.999977
0.000075	248.298875	98889.123533	0.999985
0.000079	261.033383	85114.657407	0.999992
0.000083	274.421299	73258.864541	1.000000
0.000087	288.496132	63054.489054	1.000009
0.000091	303.293213	54271.501678	1.000018
0.000096	318.849394	46711.914387	1.000028
0.000101	335.203785	40205.317307	1.000037
0.000106	352.397360	34605.037301	1.000048
0.000112	370.473108	29784.831629	1.000059
0.000117	389.476120	25636.042160	1.000069
0.000123	409.453968	22065.145971	1.000080
0.000130	430.456665	18991.647138	1.000091
0.000136	452.536683	16346.262177	1.000103
0.000143	475.748943	14069.358241	1.000113
0.000151	500.151247	12109.608861	1.000123
0.000158	525.804703	10422.836938	1.000133
0.000167	552.772906	8971.018889	1.000142
0.000175	581.122490	7721.427515	1.000149
0.000184	610.923977	6645.894251	1.000154
0.000194	642.251006	5720.174193	1.000158
