1.944	0.364	0.106
1.526	0.342	0.070
1.52	0.420	0.076
1.40	0.482	0.116
1.05	0.280	0.080
0.978	0.379	0.176
0.86	0.400	0.110
0.727	0.296	0.0765
0.61	0.436	0.034
0.59	0.481	0.066
0.56	0.482	0.067
0.52	0.488	0.065
0.44	0.413	0.080
0.37	0.4031	0.0586
0.32	0.384	0.095
0.25	0.3512	0.0583
0.18	0.360	0.090
0.17	0.510	0.060
0.15	0.490	0.145
0.10	0.370	0.130
0.067	0.423	0.055
0.02	0.314	0.048
