1.944000	0.309223	0.364000
1.526000	0.354301	0.342000
1.520000	0.355030	0.420000
1.400000	0.370129	0.482000
1.050000	0.419946	0.280000
0.978000	0.431103	0.379000
0.860000	0.449656	0.400000
0.727000	0.470079	0.296000
0.610000	0.486134	0.436000
0.590000	0.488552	0.481000
0.560000	0.491935	0.482000
0.520000	0.495919	0.488000
0.440000	0.501626	0.413000
0.370000	0.503462	0.403100
0.320000	0.502547	0.384000
0.250000	0.497609	0.351200
0.180000	0.487866	0.360000
0.170000	0.486055	0.510000
0.150000	0.482107	0.490000
0.100000	0.470316	0.370000
0.067000	0.461018	0.423000
0.020000	0.445709	0.314000
